TCGA-06-0675-11A-32R-A36H-07	TCGA-06-0678-11A-32R-A36H-07	TCGA-06-AABW-11A-31R-A36H-07	TCGA-06-0680-11A-32R-A36H-07	TCGA-06-0681-11A-41R-A36H-07
ANGPTL2	490	1357	3286	713	1117
ANG	25	19	45	20	16
ANK2	36669	32998	21539	39174	30465
ANK3	9323	9852	16544	10345	8798
ANKFN1	19	11	10	14	11
ANKLE1	13	25	57	29	27
ANKRD19	318	282	141	463	405
ANKRD20A4	8	4	1	7	4
ANKRD22	188	45	0	9	50
ANKRD24	2298	1563	726	2169	2312
ANKRD26P1	0	0	0	0	0
ANKRD29	299	265	118	487	413
ANKRD2	80	68	17	98	173
ANKRD30B	49	42	7	42	62
ANKRD34A	1955	1207	691	1951	2116
ANKRD34B	35	24	7	21	14
ANKRD34C	202	143	21	231	337
ANKRD37	876	246	473	505	719
ANKRD43	5410	2765	1408	3740	4395
ANKRD53	7	9	10	6	7
ANKRD56	738	537	75	805	614
ANKRD58	20	14	50	13	18
ANKS1B	6489	7390	10782	6603	6105
ANKS4B	2	5	0	3	2
ANLN	1794	4325	34494	1713	4310
ANO3	3291	2376	341	2696	2882
ANO4	561	1389	2958	850	998
ANO5	1986	1342	480	1949	1816
ANO6	1052	1607	1262	1105	893
ANP32B	1547	1988	5935	1565	2301
ANPEP	76	25	41	45	45
ANTXR1	2643	2170	1611	2522	1743
ANTXR2	200	146	229	193	176
ANXA11	5216	5909	1941	5052	5077
ANXA1	1061	1748	681	528	932
ANXA2P2	416	632	350	291	271
ANXA2	1256	1778	1179	838	1020
ANXA5	2876	3544	7812	2808	4191
ANXA8L2	4	113	2	1	0
AOAH	206	83	273	148	190
AP1M2	9	12	0	12	2
AP1S1	6049	8163	3060	5620	6224
AP2A2	10335	19446	5492	10449	9998
AP3B2	6985	6756	1868	8034	6912
AP3M2	5546	4403	2269	5977	5546
APBA1	9952	6970	3306	9651	7596
APBA3	153	254	748	254	326
APBB1	16904	17992	25072	18266	18635
APH1A	3242	3282	5454	2861	3512
APLP1	39456	47726	137768	36210	47726
APOA1	2	5	1	2	8
APOB48R	88	235	308	84	112
APOBEC2	2	0	6	3	3
APOBEC3A	2	1	0	0	7
APOBEC3B	1	0	2	2	1
APOBEC3C	53	31	69	34	23
APOBEC3D	8	8	17	7	7
APOBEC3F	62	29	124	32	21
APOBEC3G	141	50	151	123	90
APOBEC3H	1	1	1	0	0
APOC1P1	0	0	0	0	0
APOC1	261	553	915	448	1281
APOE	24658	25603	31189	23568	40325
APOL1	542	684	257	271	360
APOL4	53	324	71	9	40
APOL6	1149	1085	1041	599	532
APOM	27	27	136	30	20
APPL2	1936	1670	2508	2071	2184
APP	172137	158388	158388	172137	158388
APRT	1005	670	1299	907	803
AQP12B	24	4	3	11	3
AQP1	1605	3042	22167	991	990
AQP3	339	1817	236	329	277
AQP6	46	98	187	64	74
AQP7	1	27	4	10	7
AQPEP	1	4	10	0	1
ARAP3	592	575	186	501	478
ARHGAP11A	88	44	138	80	33
ARHGAP11B	1	3	8	0	1
ARHGAP12	1999	1970	1518	2298	1909
ARHGAP15	30	24	84	37	24
ARHGAP18	429	384	264	335	321
ARHGAP20	1702	1318	424	1582	1342
ARHGAP23	5940	9660	25251	6621	6859
ARHGAP26	6120	5000	1724	6496	5169
ARHGAP30	400	346	448	258	340
ARHGAP31	2153	1705	921	1599	1285
ARHGAP42	164	157	62	179	142
ARHGDIB	1642	1580	2103	1202	1617
ARHGDIG	5613	5994	2722	6023	5837
ARHGEF10L	2042	2243	1336	1892	1773
ARHGEF19	23	15	47	12	15
ARHGEF33	184	130	70	194	233
ARHGEF6	2370	1844	2477	2282	1997
ARHGEF9	16025	11346	3988	14824	11516
ARL11	31	11	49	20	24
ARL6IP6	362	381	845	347	466
ARL6	677	412	283	676	534
ARMCX6	197	215	721	242	279
ARPC1B	1358	1210	1182	988	1204
ARPM1	106	113	90	126	102
ARPP21	7458	6040	1768	6233	7453
ARRB1	3154	3878	1898	3112	1842
ARRDC5	3	2	3	2	1
ARSE	34	38	67	64	68
ARSJ	73	147	107	71	74
ARX	1412	1114	291	1467	1250
AR	20	4	14	24	9
ASAP3	1262	1548	1276	1203	889
ASB16	16	7	12	14	13
ASB2	230	281	30	332	292
ASB9	8	2	1	7	6
ASCC3	1061	1355	1597	1060	986
ASCL1	352	272	540	546	438
ASCL4	0	0	0	0	0
ASF1B	8	9	19	4	3
ASGR1	141	101	38	144	186
ASGR2	5	4	0	6	4
ASIP	0	0	0	0	0
ASPA	156	714	4395	259	450
ASPDH	1064	551	724	767	683
ASPHD1	3841	3867	4827	3184	3803
ASPHD2	2073	1406	787	1873	1901
ASPM	26	5	11	26	10
ASPN	8	17	6	35	24
ASS1	3234	2961	1147	3105	2352
ATAD2	614	418	237	485	420
ATAD5	48	50	98	78	58
ATF7IP2	352	206	95	317	333
ATHL1	273	233	208	277	295
ATL1	8034	8798	4903	7710	7812
ATL3	235	236	397	221	116
ATOH7	189	197	48	162	169
ATOH8	296	329	738	226	283
ATP10B	292	1226	4431	442	690
ATP10D	475	441	462	489	340
ATP11C	167	242	764	197	185
ATP13A2	12425	10915	5314	12225	10891
ATP13A5	18	11	13	20	18
ATP1A3	81598	93116	16938	95999	60609
ATP1B1	41194	43835	40896	41830	50530
ATP1B4	27	15	4	11	18
ATP2A1	14	4	28	12	10
ATP2B1	21847	15628	4872	19975	20664
ATP2B2	22369	13715	3107	20720	19493
ATP2B3	6293	4577	1185	6026	5289
ATP2C2	256	119	231	247	217
ATP4A	8	2	0	10	13
ATP6V0A1	25417	28409	17213	27941	28409
ATP6V0D2	1	4	0	0	0
ATP6V0E1	1542	2026	4004	1463	2191
ATP6V1A	21361	21002	8479	24257	19635
ATP6V1B1	6	0	6	2	2
ATP6V1B2	30736	35104	14084	33518	32998
ATP6V1C1	15712	13735	4769	16445	13616
ATP6V1E1	13597	13503	12997	13735	18807
ATP6V1G2	15628	13959	5628	15070	18266
ATP6V1H	10825	8656	4853	9583	11704
ATP8A1	15198	12997	24100	15173	14752
ATP8A2	2684	4133	1146	3132	1615
ATP8B3	16	6	11	21	22
ATP8B4	157	143	166	151	162
ATP8B5P	26	21	42	18	28
ATPBD4	147	102	266	114	107
ATRNL1	9388	6394	1324	10469	7358
ATXN7L3	9177	7191	3724	8709	7562
AUH	974	916	967	966	1023
AURKAPS1	3	6	2	0	7
AURKA	44	56	146	43	49
AURKB	0	1	2	1	0
AVIL	50	35	75	60	51
AWAT2	0	0	0	0	0
AZU1	0	0	0	5	5
B2M	20132	16705	24827	12779	18893
B3GALT1	306	185	78	287	178
B3GALT2	2211	2671	2385	2028	2287
B3GALT5	14	13	5	15	4
B3GNT4	287	301	143	337	327
B3GNT7	482	695	900	386	474
B3GNT8	9	19	4	7	6
B4GALNT3	382	431	57	437	242
B4GALT1	590	761	485	529	693
B4GALT4	540	679	695	562	590
B4GALT6	3870	2002	604	3822	2936
BAALC	14591	14872	9634	15252	16512
BAAT	88	71	38	50	57
BACE2	167	249	242	104	104
BAG4	1358	1037	375	1359	844
BAI2	23568	29121	11103	22565	19308
BAIAP2L1	79	149	38	117	45
BAIAP2	9651	10949	3617	9022	9420
BAIAP3	8750	11582	5024	11199	10704
