TCGA-06-0675-11A-32R-A36H-07	TCGA-06-0678-11A-32R-A36H-07	TCGA-06-AABW-11A-31R-A36H-07	TCGA-06-0680-11A-32R-A36H-07	TCGA-06-0681-11A-41R-A36H-07
C9orf45	2011	1682	642	2209	2048
C9orf46	177	199	389	169	205
C9orf4	939	632	65	1010	276
C9orf50	15	14	10	17	14
C9orf66	0	4	5	4	2
C9orf7	651	693	1812	747	739
C9orf84	0	0	0	0	0
C9orf91	4228	3166	1352	4203	3326
C9	0	0	0	0	0
CA11	24257	22233	7371	24992	17873
CA12	256	349	414	104	447
CA3	16	13	14	16	24
CA5A	1	5	2	0	2
CA7	390	244	70	465	359
CA9	2	13	1	10	3
CABLES1	5568	3495	679	4287	4495
CABP1	5285	4093	852	5260	4996
CABP4	4	5	10	2	2
CABYR	452	693	412	631	636
CACNA1B	5502	4341	1110	6240	4035
CACNA1C	4500	7026	989	4757	3428
CACNA1D	1565	1283	481	1789	1201
CACNA1E	5079	5348	1970	4889	3748
CACNA1F	84	85	9	97	94
CACNA1G	2469	3731	617	2217	1734
CACNA1H	1947	3434	370	1591	1172
CACNA1I	3040	3080	611	2695	2510
CACNA1S	103	16	17	54	29
CACNA2D1	2379	1523	579	2554	1267
CACNA2D2	1075	998	306	1254	915
CACNA2D3	1990	1513	623	2127	2223
CACNA2D4	41	10	101	8	26
CACNB1	6809	10228	2191	6828	6070
CACNB2	3362	1881	453	3086	2677
CACNB3	6154	2914	803	5206	4531
CACNB4	6344	4234	1361	6319	4623
CACNG1	15	15	9	18	10
CACNG3	5454	3557	1124	5020	5133
CACNG4	2487	2574	1441	2485	2188
CACNG6	10	7	8	6	4
CACNG8	289	361	36	321	196
CADM3	32157	25881	5410	31995	32651
CADPS2	3011	2417	587	3338	2618
CADPS	10111	8784	2700	10716	8750
CAD	1054	879	1449	1181	1081
CAGE1	0	0	0	0	0
CALB1	2463	912	114	2403	2351
CALB2	2534	1447	670	3409	3862
CALCRL	546	673	909	588	514
CALD1	2736	2979	2725	2900	2743
CALHM1	346	148	41	308	190
CALN1	7270	7463	3117	6520	4516
CALR	9961	18027	14849	9331	13979
CALU	2765	3385	4005	2665	2763
CALY	6055	4428	1712	6088	5989
CAMK1D	2711	4319	445	2825	1261
CAMK1G	4404	3424	579	3893	3203
CAMK1	1977	4581	1488	3431	3775
CAMK2A	111898	63163	7292	76414	74973
CAMK2B	21976	19587	5243	22233	22369
CAMK2G	13335	13170	4703	14682	12457
CAMK2N1	38122	30324	23347	33709	38903
CAMK4	1183	769	211	1261	761
CAMKK1	10102	15968	2118	9989	8084
CAMKK2	17354	11188	3460	14752	13135
CAMKV	15252	10782	2590	14020	15278
CAMP	0	0	0	0	0
CAMTA1	7684	6240	2974	7390	6978
CAMTA2	10512	8730	4086	9412	8297
CAP2	11424	9292	2175	11103	10459
CAPG	711	1098	1393	786	828
CAPN11	1	0	0	0	0
CAPN13	6	47	395	5	21
CAPN14	4	4	6	15	10
CAPN2	3659	3934	5364	4373	3930
CAPN3	569	2467	18146	1251	2837
CAPN6	0	0	0	1	0
CAPS	479	412	1072	371	384
CARD16	33	27	14	27	29
CARD6	79	102	72	69	87
CARD8	566	541	1081	607	593
CARD9	112	91	193	100	120
CARNS1	2168	7534	73490	2924	7087
CASC5	3	0	7	6	7
CASKIN1	8888	7394	1919	9015	6943
CASP1	143	89	149	76	143
CASP2	639	747	1074	554	633
CASP4	108	135	78	63	113
CASP5	6	0	0	1	0
CASP6	56	96	118	49	42
CASP8	124	76	106	131	104
CASS4	96	30	30	56	55
CASZ1	36	48	30	28	15
CATSPER1	0	0	0	0	0
CATSPER3	6	5	24	4	2
CATSPERB	0	0	0	0	0
CAV1	427	798	1598	465	686
CAV3	0	0	0	0	0
CBFA2T3	958	1464	231	1025	727
CBLB	184	277	262	185	181
CBLN2	1842	1026	513	1665	1825
CBLN4	2918	1204	85	3059	2340
CBS	2085	2298	2821	2170	2233
CBX2	19	32	76	38	33
CBX3	3400	3052	4334	3259	3975
CBX6	8497	7524	3132	8096	4951
CBX7	10771	8002	5143	10544	9651
CBX8	92	34	254	134	91
CC2D2A	540	313	388	772	650
CCBE1	243	145	64	237	133
CCDC102A	58	66	102	60	36
CCDC102B	128	136	309	117	162
CCDC110	72	109	45	76	45
CCDC111	273	142	437	212	269
CCDC116	9	4	23	8	4
CCDC11	13	22	58	28	18
CCDC120	334	309	169	363	296
CCDC134	19	27	78	29	14
CCDC135	14	5	1	14	17
CCDC138	37	32	103	37	31
CCDC140	0	0	0	0	0
CCDC141	11	10	39	19	9
CCDC144B	250	210	219	620	193
CCDC146	268	95	328	310	250
CCDC14	1130	959	1142	1200	1138
CCDC151	88	58	115	94	121
CCDC153	6	2	10	1	2
CCDC154	16	20	60	12	28
CCDC15	21	37	102	18	13
CCDC160	33	31	172	23	33
CCDC18	21	23	29	21	26
CCDC19	8	4	5	7	2
CCDC21	862	1155	3208	847	904
CCDC28B	322	224	308	343	411
CCDC36	2	4	3	6	2
CCDC37	3	0	3	1	0
CCDC3	3900	3589	1133	4342	4206
CCDC40	136	96	143	130	97
CCDC42B	9	9	26	15	15
CCDC50	2311	2651	2834	2532	2505
CCDC52	212	250	248	264	241
CCDC54	0	0	28	0	0
CCDC58	107	142	247	85	150
CCDC64B	15	5	7	13	15
CCDC64	1127	874	254	1331	1104
CCDC67	0	0	0	0	0
CCDC68	337	151	7	305	186
CCDC70	0	14	0	1	0
CCDC74B	137	142	62	164	136
CCDC80	749	611	905	558	394
CCDC81	8	4	24	6	8
CCDC85A	2845	1511	376	2745	2631
CCDC89	30	38	70	45	42
CCDC92	6889	9096	5223	6870	6572
CCIN	15	132	12	20	14
CCKBR	1636	2462	418	1516	1597
CCK	7174	7005	1613	7827	10102
CCL17	1	0	0	0	0
CCL18	8	0	0	0	0
CCL19	14	2	0	12	18
CCL21	0	0	0	0	0
CCL22	13	6	8	3	5
CCL25	0	0	0	0	0
CCL28	49	26	18	70	36
CCL5	25	30	37	36	85
CCNA1	508	624	143	478	463
CCNA2	26	55	101	29	39
CCNB1IP1	839	683	882	855	755
CCNB1	305	418	248	312	341
CCNB2	2	2	10	3	1
CCND1	972	3122	1809	1617	1633
CCND2	6660	7812	2170	6017	7942
CCNJL	68	43	54	60	66
CCNO	266	40	1	256	262
CCR10	42	34	36	49	44
CCR1	520	339	260	180	327
CCR2	6	12	4	3	5
CCR3	0	0	0	0	0
CCR5	73	86	89	32	58
CCR9	6	7	10	13	2
CCRL1	13	4	13	14	18
CCRL2	27	55	24	15	81
CD14	2061	2621	631	1131	1668
CD151	1530	2637	1993	1586	1562
CD163	1508	232	23	112	63
CD164L2	2	9	3	8	3
CD177	36	22	1	41	7
CD180	38	43	64	19	52
CD19	1	0	0	0	0
CD1C	1	0	0	0	1
CD1D	9	9	6	4	5
CD1E	1	0	0	0	0
CD200	5292	3844	2858	5249	5504
CD207	1	0	0	0	0
CD209	40	29	1	12	4
CD22	109	1253	5980	275	977
CD244	42	364	137	76	22
CD248	141	197	172	152	140
CD276	857	1160	783	946	1128
CD27	13	10	25	15	15
CD28	6	3	0	11	12
CD2	9	5	10	6	9
CD300A	239	193	265	126	197
CD300C	28	37	35	28	39
CD300LF	11	10	57	13	12
CD300LG	6	2	0	4	11
CD320	939	686	1341	1286	1247
CD33	92	73	119	76	63
CD36	87	16	21	48	59
CD37	403	142	753	267	442
CD38	67	84	281	59	43
CD3D	2	3	0	0	3
CD3E	14	20	7	10	30
CD3G	1	0	0	0	0
CD40LG	0	0	0	0	3
CD40	114	117	117	101	103
CD44	1813	4815	7620	1065	945
CD48	20	11	7	15	33
CD4	1479	992	1184	1062	1256
CD53	1081	1040	987	661	1332
CD55	680	1373	3929	1128	1169
CD58	65	149	133	79	99
CD5L	4	1	1	0	0
CD63	6955	9022	11043	7022	7751
CD68	1524	1226	1523	891	1562
CD70	0	2	0	0	0
CD72	10	9	70	7	23
CD74	13676	8670	19493	10168	10815
CD79A	0	2	3	1	14
CD79B	2	5	6	7	12
CD7	15	24	28	14	18
CD80	1	5	0	0	3
CD81	17283	19166	29519	16084	19075
CD82	983	1856	3765	1326	1386
CD84	111	109	93	130	105
CD86	264	201	398	193	341
CD93	575	1157	136	260	344
CD96	3	6	5	7	6
CD99	1935	2394	2859	2431	2667
CDA	20	24	21	17	21
CDC20	17	21	475	8	15
CDC25A	81	57	47	38	49
CDC25C	4	2	0	0	2
CDC42BPG	2	0	1	4	3
CDC42EP2	384	994	3510	424	785
CDC42EP4	4868	4140	3143	5106	4004
CDC42EP5	9	25	4	7	13
CDC45	0	2	1	1	0
CDC6	170	105	48	97	99
CDCA2	0	6	6	0	2
CDCA3	62	62	81	89	96
CDCA4	77	75	170	58	80
CDCA5	326	180	112	266	238
CDCA7L	86	177	796	212	241
CDCA7	39	16	59	61	45
CDCA8	17	22	74	21	23
CDCP1	90	72	24	72	43
CDCP2	4	5	0	5	4
CDH11	1350	2086	1811	1558	1349
CDH12	648	202	124	606	449
CDH13	5341	6026	2932	5631	5759
CDH15	0	1	1	0	0
CDH16	0	43	3	0	0
CDH18	2180	1141	308	2124	1750
CDH19	31	349	724	58	110
CDH22	3586	4378	338	2815	2850
CDH7	220	155	11	217	118
CDH8	2554	1708	634	2467	1777
CDH9	1225	819	251	1215	1197
CDHR2	51	38	11	54	36
CDK15	0	0	1	0	0
CDK17	6381	5334	6006	5576	5906
CDK18	2919	4186	25881	3241	5060
CDK1	72	29	49	25	26
CDK2AP1	3464	3225	7141	4103	4070
CDK2	93	159	268	75	108
CDK4	990	1200	1996	1058	1335
CDK5R1	17177	12063	3801	15304	15489
CDK5R2	6227	4123	1431	5756	6160
CDK6	604	757	2786	649	906
CDKL2	1629	1360	995	1836	1286
CDKL5	1353	871	287	1664	615
CDKN1A	1127	4932	1072	1016	1932
CDKN1C	585	1279	8327	605	952
CDKN2A	22	50	291	21	43
CDKN2BAS	0	1	10	1	2
CDKN2B	209	368	426	196	160
CDKN2C	230	253	870	202	253
CDKN2D	4516	2958	1890	4008	4032
CDKN3	90	56	26	86	90
CDON	345	420	191	438	301
CDR1	138	554	1980	84	1259
CDRT1	0	0	0	1	2
CDRT4	622	436	712	689	671
CDS1	2330	2397	494	2885	2457
CDSN	0	2	18	1	2
CDT1	87	109	221	82	83
CDYL2	510	476	55	497	145
CEACAM1	2	4	9	1	5
CEACAM21	25	16	16	11	15
CEACAM4	0	0	0	0	1
CEBPD	1082	860	426	559	952
CECR4	2	2	5	9	3
CECR5	977	1025	1187	995	993
CECR7	68	98	296	413	252
CELA1	0	0	0	0	0
CELF3	7166	8357	1381	6461	5684
CELF4	10054	10869	2797	9915	9096
CELF5	8943	9404	2370	9292	9126
CELSR1	18	37	17	17	18
CEL	20	19	30	24	18
CEND1	11730	10502	4415	12303	11894
CENPA	1	0	7	2	1
CENPE	40	32	97	41	41
CENPF	288	344	55	273	163
CENPH	64	51	95	55	67
CENPI	4	2	7	5	3
CENPK	2	5	13	2	9
CENPL	117	127	130	103	85
CENPM	11	8	19	6	12
CENPQ	112	96	706	152	257
CENPW	45	36	30	37	48
CEP135	130	193	229	178	127
CEP152	34	42	97	33	31
CEP55	4	3	10	0	3
CEP78	380	364	553	447	319
CER1	0	0	0	0	0
CERCAM	2583	11437	47726	4591	7699
CERKL	48	19	13	33	37
CES7	12	11	43	13	12
CES8	812	837	1241	1084	1004
CETP	1	9	5	7	9
CFC1B	31	2	6	42	41
CFD	44	61	150	62	110
CFI	445	307	335	114	135
CFLP1	3	0	2	2	7
CGREF1	3441	2343	836	3506	2763
CHAC1	428	449	139	501	505
CHAC2	43	130	74	47	67
CHAD	243	102	178	214	203
CHAT	0	0	0	0	0
CHCHD8	566	963	1980	635	803
CHD5	16478	18552	3432	17073	14255
CHD7	751	1263	2783	1001	1200
CHEK1	93	80	381	54	96
CHEK2	25	30	54	19	30
CHGA	10459	12393	5821	10973	10984
CHGB	13135	13391	3497	13676	11690
CHI3L1	2492	3993	2043	1457	2503
CHI3L2	731	1120	875	99	517
CHIA	0	0	0	0	0
CHIC1	3153	2506	1780	3117	2783
CHIC2	195	229	271	156	219
CHIT1	24	9	22	19	15
CHL1	23125	17391	5199	22702	19258
CHN1	50052	35313	10008	45323	53630
CHN2	1609	1948	6551	2043	2072
CHODL	28	24	142	15	21
CHP2	29	7	104	7	3
CHRD	2365	2612	938	2557	2372
CHRM1	6859	3630	1522	6901	5980
CHRM2	85	211	37	110	53
CHRM3	1275	814	189	1360	720
CHRM4	388	241	66	519	250
CHRNA10	8	8	19	15	19
CHRNA1	6	14	9	8	9
CHRNA2	483	208	11	620	396
CHRNA5	56	20	6	32	45
CHRNA6	20	13	2	53	29
CHRNA9	9	43	5	7	3
CHRNB2	5010	4027	993	5531	3594
CHRNB3	11	6	1	24	21
CHRND	0	0	0	0	0
CHRNE	31	9	5	11	15
CHST14	249	227	616	167	191
CHST1	7157	4939	2574	6377	6839
CHST3	919	1908	3153	451	904
CHST4	0	0	0	0	0
CHST9	119	88	150	124	101
CHSY3	627	446	200	656	593
CIDEA	39	56	84	51	46
CIITA	130	78	174	111	67
CILP	3	1	21	11	5
CISH	17	129	25	23	32
CIT	9347	5415	1978	9608	7251
CKAP2L	24	10	11	23	10
CKAP2	883	742	740	918	1119
CKLF	175	205	516	180	262
CKMT2	96	209	434	127	289
CKS2	62	111	76	86	108
CLCA2	4	26	138	5	12
CLCA4	35	264	1514	105	256
CLCF1	6	136	14	8	18
CLCN1	0	0	0	0	0
CLCN4	10693	7120	13117	11690	10120
CLDN10	2157	1623	1259	2046	2736
CLDN11	2318	7038	54262	2245	6764
CLDN15	77	168	589	85	138
CLDN16	7	4	4	5	7
CLDN23	8	5	25	7	11
CLDN3	4	3	1	2	0
CLDN5	2235	2479	2127	1743	2548
CLDN6	8	7	5	7	3
CLDN7	9	0	1	0	2
CLEC10A	10	6	1	2	2
CLEC12A	0	0	0	2	1
CLEC18A	31	158	142	36	34
CLEC1A	33	46	19	23	35
CLEC2A	0	0	50	0	0
CLEC2B	37	100	39	65	98
CLEC2L	1503	1572	490	1450	1326
CLEC3A	0	0	0	0	0
CLEC4A	29	29	68	33	27
CLEC4D	0	0	0	0	0
CLEC4E	11	0	0	2	2
CLEC4F	2	1	0	0	0
CLEC4G	158	160	54	168	118
CLEC5A	17	80	15	60	24
CLECL1	0	6	10	3	0
CLIC1	938	1795	1080	654	1111
CLIC4	3712	10355	24181	3727	5551
CLIC5	377	653	134	232	348
CLLU1OS	0	0	0	0	0
CLMN	1224	2295	10502	1447	1960
CLNS1A	2344	2185	3500	2312	2722
CLRN1OS	0	0	0	0	0
CLRN2	1	0	1	0	0
CLSPN	86	19	16	81	43
CLSTN1	68363	83397	26979	73490	59085
CLSTN2	2275	3060	1074	3471	1399
CLSTN3	21181	22908	4768	23418	20720
CLUL1	214	88	175	474	180
CLVS1	1203	760	353	1253	1107
CLVS2	768	486	65	859	260
CMAS	5143	3828	3144	4935	5401
CMIP	10418	12504	4232	9952	8169
CMKLR1	212	298	242	311	149
CMTM1	127	115	205	189	130
CMTM3	233	614	524	216	292
CMTM6	1038	1273	1161	990	1195
CMTM7	125	71	115	69	79
CNDP1	1063	5648	29916	2283	3915
CNGA3	68	43	38	125	70
CNGB1	1184	317	0	979	731
CNIH2	4874	5267	2012	4544	4180
CNKSR2	6705	5730	827	6341	5464
CNN2	249	219	1097	234	131
CNN3	5754	11164	7890	5227	6091
CNNM1	2630	1411	545	2686	2340
CNNM2	1112	843	1193	1090	952
CNPY1	3	4	17	5	3
CNPY4	274	287	869	339	331
CNP	15996	46491	313133	18512	40896
CNR1	6548	5115	1088	8578	7100
CNST	3964	3358	1585	4441	3169
CNTF	25	39	162	23	22
CNTLN	167	94	186	112	138
CNTN2	5538	12945	90375	6967	13814
CNTN3	2066	1898	324	2075	1956
CNTN4	1963	1578	324	1994	1508
CNTN5	756	267	26	789	483
CNTN6	610	161	124	533	392
CNTNAP1	14920	12585	3400	15409	11451
CNTNAP2	12272	8146	4417	12731	10208
CNTNAP4	2362	3602	11690	2818	3137
CNTNAP5	761	268	62	879	230
COBL	7689	8327	19120	8163	8737
COCH	349	272	289	588	455
COL10A1	85	134	17	69	43
COL14A1	101	38	71	71	101
COL15A1	37	70	21	73	35
COL18A1	1908	2035	2395	2077	1805
COL19A1	168	93	32	165	98
COL1A1	1809	287	67	510	254
COL1A2	2401	1056	405	1637	714
COL20A1	519	466	540	448	321
COL22A1	56	119	4	102	78
COL24A1	191	95	19	434	236
COL25A1	183	152	56	371	136
COL28A1	15	11	38	54	31
COL2A1	13	6	0	14	1
COL3A1	1089	115	38	234	233
COL4A1	450	1459	244	472	620
COL4A2	1175	2683	623	1310	1101
COL4A3	46	29	98	57	57
COL4A4	54	45	89	50	39
COL4A5	832	2310	17725	1072	1772
COL4A6	12	10	51	25	16
COL5A1	311	393	41	412	202
COL5A2	1473	758	145	1788	1073
COL6A1	4016	5143	2323	3716	3271
COL6A2	1469	1811	886	1101	805
COL6A6	12	21	21	15	12
COL8A1	18	29	13	21	11
COL8A2	147	136	293	161	143
COMMD6	1142	1073	1472	1119	1508
COPZ2	113	93	288	102	93
COQ2	144	193	242	140	156
CORO1B	1566	1304	3426	1517	1527
CORO1C	4433	4777	5238	4922	4889
CORO2A	612	373	182	719	424
CORO6	827	380	226	1278	982
CORT	519	533	413	752	670
COTL1	3267	3650	3381	2680	3128
COX4I2	9	4	30	10	29
COX7A1	1242	1088	624	1439	1591
COX8C	0	0	0	0	0
CP110	2927	3728	10491	3148	3688
CPA3	1	0	0	0	0
CPA5	3	0	0	0	0
CPEB1	1270	1191	2337	1375	1227
CPEB2	3828	3477	5728	3668	3448
CPEB3	2464	1726	893	2589	1583
CPLX1	8860	10428	2141	10836	7958
CPLX2	62267	43471	5741	54262	51499
CPLX3	890	1205	1480	757	959
CPNE1	1651	1799	2705	1503	2054
CPNE2	1411	1950	5538	1586	2006
CPNE3	2772	2711	3076	2409	2360
CPNE4	2162	1621	335	2004	1826
CPNE5	7562	7309	2453	7100	6404
CPNE6	10502	7921	3507	9222	10469
CPNE7	1807	2049	530	1947	1824
CPNE8	1150	733	272	1065	817
CPNE9	970	793	94	1055	811
CPPED1	859	1183	4361	897	1047
CPS1	90	363	1234	176	165
CPVL	495	205	672	318	171
CPXM1	463	82	44	157	65
CP	367	738	1558	86	93
CR1L	0	0	0	0	0
CR2	1	2	21	3	4
CRB1	1049	540	1074	1117	931
CREB3L4	53	53	226	73	77
CREG2	6990	4610	973	7327	4260
CRELD1	3348	2667	1796	3080	3357
CRHBP	880	1410	1510	1154	955
CRHR1	1033	453	218	981	887
CRHR2	47	232	68	45	33
CRH	150	98	34	251	554
CRISPLD1	440	825	1313	383	359
CRLS1	1278	1217	1284	1151	1375
CROT	861	569	482	804	859
CRYAB	5935	16142	99365	6753	18470
CRYBA4	0	0	0	0	0
CRYBB1	25	36	22	36	33
CRYBB2	1	2	3	2	6
CRYGA	0	0	0	3	0
CRYGN	16	240	6	16	7
CRYGS	27	26	102	33	36
CRYM	10903	5853	2157	11437	9380
CSAG1	4	5	13	5	4
CSDAP1	2	15	5	5	10
CSDA	657	1476	547	420	924
CSDC2	1876	2262	409	1305	1309
CSF1R	4638	2509	4060	3760	3867
CSF1	660	1166	2089	549	662
CSF2RB	57	66	81	55	66
CSF3R	477	227	602	375	428
CSMD1	2970	3259	896	3119	2134
CSNK1A1L	2	0	7	4	1
CSPG4	2631	3114	2535	1860	1424
CSPG5	7005	6262	4054	8690	7067
CSRNP3	733	449	58	825	249
CSRP2	278	810	1661	390	660
CSRP3	0	0	0	0	0
CST6	2	74	21	0	2
CST7	4	5	1	6	14
CSTA	4	3	0	4	2
CTAGE1	0	2	10	4	3
CTDSP1	1401	1457	4248	1508	1598
CTGF	2389	1985	2670	737	1106
CTHRC1	72	73	43	49	52
CTLA4	12	0	2	2	6
CTNNAL1	373	675	327	407	370
CTNND1	4662	5012	5810	5483	5199
CTPS2	313	335	1168	393	414
CTRB2	28	0	16	0	0
CTSC	1132	846	591	753	826
CTSK	262	143	127	326	251
CTSO	1445	1171	1281	1485	1064
CTSS	1043	705	857	587	685
CTSW	0	2	3	7	11
CTXN1	9029	7510	2757	8141	9608
CTXN2	187	190	95	165	271
CUBN	63	144	31	121	55
CUX2	3817	2220	127	3483	2581
CXADRP3	0	0	10	2	0
CXCL10	70	40	6	10	28
CXCL11	6	29	10	4	4
CXCL13	1	0	0	0	0
CXCL16	1071	768	1072	755	949
CXCL5	73	80	41	61	63
CXCL9	23	0	7	5	5
CXCR1	2	2	1	4	13
CXCR2P1	0	2	0	0	4
CXCR2	3	4	1	5	7
CXCR3	3	2	1	3	1
CXCR4	248	400	547	349	723
CXCR6	4	2	1	5	3
CXCR7	973	581	719	735	778
CXXC4	90	61	54	101	72
CXorf21	48	20	29	27	37
CXorf42	21	17	41	35	25
CXorf50B	20	7	13	18	14
CXorf64	0	0	0	0	0
CYB561	3449	1893	816	3043	2465
CYB5R2	113	545	2993	204	654
CYBA	1020	903	1121	644	903
CYBB	1659	1426	1099	1094	1076
CYFIP2	28644	25510	8528	29121	24181
CYGB	1962	1845	434	2016	1762
CYMP	0	1	0	3	0
CYP19A1	4	2	19	0	1
CYP1A1	44	33	65	30	70
CYP21A2	46	120	136	37	67
CYP26A1	50	97	153	61	96
CYP26B1	3352	2735	689	2161	1822
CYP26C1	8	12	34	21	8
CYP27B1	1	5	9	6	7
CYP27C1	20	127	7	21	10
CYP2C18	30	20	6	23	1
CYP2D6	12	29	31	18	16
CYP2U1	946	696	1048	1031	903
CYP2W1	0	0	0	0	0
CYP39A1	26	19	60	26	22
CYP3A43	1	0	4	2	2
CYP3A5	14	43	12	21	12
CYP46A1	8285	6779	2634	7038	9720
CYP4B1	10	0	2	2	0
CYP4F12	1	3	47	7	10
CYP4X1	1382	708	308	1273	1123
CYP4Z1	14	7	2	17	9
CYP4Z2P	1	0	0	0	2
CYSLTR1	13	15	22	26	13
CYSLTR2	67	53	31	42	22
CYTIP	45	25	45	23	85
CYTL1	14	28	260	57	37
CYYR1	321	276	146	217	230
D4S234E	4106	3267	735	4153	4426
DAB1	487	366	53	488	299
DAB2	919	577	311	620	407
DACH2	1739	1040	284	1766	1247
DACT3	4120	5296	6716	4390	4685
DAND5	6	18	12	4	4
DAO	0	4	45	0	0
DAPL1	2	4	1	17	11
DAPP1	34	32	67	24	44
DAP	1974	2470	1792	1971	2135
DARC	797	397	115	680	746
DARS	2769	2462	2679	2788	3029
DBC1	6411	7141	2281	6148	6136
DBF4	125	184	125	124	147
DBH	131	97	6	96	76
DBI	4051	4454	6642	3699	3497
DBNDD2	4023	9781	67273	4683	10502
DBX2	71	104	178	135	138
DCAF12L2	128	81	64	127	75
DCAF12	1417	1418	1382	1217	1210
DCAF13	532	845	1099	522	672
DCAF4L2	0	0	0	3	0
DCAF6	6794	6447	2029	6506	6621
DCDC1	1	2	0	0	1
DCHS1	1925	2147	1030	1932	1482
DCI	817	985	1694	925	957
DCLK1	22233	27496	6997	24018	20947
DCLK2	5316	4746	3226	5445	5085
DCLK3	334	317	34	377	447
DCLRE1C	149	162	365	181	146
DCPS	231	240	309	255	205
DCST2	2	0	12	1	10
DCTN1	29121	26875	22980	27390	28644
DCT	26	22	16	27	14
DCX	961	785	314	1066	946
DDAH2	1418	1691	1683	1588	1467
DDIT4	4650	1024	1786	1863	1957
DDN	22980	13353	2219	19213	16804
DDR1	7030	10608	31349	7659	8051
DDR2	225	109	28	333	60
DDX11L2	2	18	9	13	7
DDX11	113	166	462	313	367
DDX12	6	18	41	9	15
DDX39	532	854	1653	577	712
DDX43	2	3	0	1	0
DDX59	336	409	638	386	403
DDX60L	568	135	215	138	201
DDX60	621	298	386	361	321
DEC1	0	0	0	0	0
DECR1	1338	1261	1511	1254	1501
DEDD2	1375	1698	1419	1491	1524
DEF6	153	179	283	172	233
DEFB119	0	0	0	0	0
DENND2A	1350	1687	1913	1390	1614
DENND2D	21	39	30	11	38
DEPDC1B	17	29	15	25	26
DEPDC1	28	25	11	34	24
DEPDC4	11	11	16	10	9
DERA	480	422	1189	420	523
DFNA5	1431	923	969	1498	1282
DFNB31	562	1170	5651	671	1170
DGAT2	734	446	310	659	672
DGCR6	1428	1846	1208	2183	2226
DGCR9	1410	591	191	801	831
DGKB	5777	4536	923	5392	5112
DGKE	2950	1826	961	3086	2791
DGKZ	14614	15437	5422	13558	13835
DHCR24	14321	12601	19832	13655	9404
DHDH	55	146	20	50	60
DHDPSL	128	78	463	129	100
DHFR	356	381	857	315	362
DHH	1	5	7	4	3
DHRS13	361	243	469	439	416
DHRS3	1413	874	1109	993	766
DHRS4L1	6	7	4	10	16
DHRSX	223	347	354	301	303
DHTKD1	1439	1241	2300	1468	1278
DHX40	1752	1826	2463	1824	1800
DIAPH2	278	174	81	273	133
DIAPH3	33	29	64	45	52
DIO1	0	0	3	1	0
DIRAS1	10533	10984	2314	10903	9147
DIRAS2	11516	9253	3854	10641	10111
DISC1	488	465	504	459	346
DISP1	238	224	274	211	208
DISP2	3109	2385	1274	3227	2268
DIXDC1	3892	6678	9207	4019	4065
DKFZP434L187	0	0	0	0	0
DKK1	16	20	24	16	20
DKK2	107	255	145	85	187
DKK3	32651	36669	15252	35984	35984
DKKL1	1	0	0	0	0
DLEC1	66	17	20	42	41
DLEU1	21	30	98	24	32
DLEU7	228	130	90	232	234
DLG2	13558	13540	11677	13715	11555
DLG3	5974	4846	1791	5664	5892
DLG4	24741	20078	5012	22436	20132
DLG5	2537	2040	1981	2382	1892
DLGAP1	6354	4238	1062	6924	4387
DLGAP2	3563	2878	471	3451	2493
DLGAP3	6468	5790	839	5526	4009
DLGAP5	0	0	0	1	0
DLK1	3	14	1	5	0
DLK2	332	312	157	336	283
DLL1	201	572	2487	359	601
DLL3	286	269	380	309	423
DLX1	1145	790	214	1338	1356
DLX4	6	0	0	3	0
DMBT1	7	14	271	4	23
DMC1	16	19	23	18	10
DMRT1	0	0	0	0	0
DMRT2	6	84	1335	20	102
DMRTA2	2	3	177	3	16
DMXL2	7859	6610	2290	8221	5710
DNAH11	7	9	1	8	10
DNAH12	9	13	17	5	3
DNAH17	109	658	4441	119	552
DNAH6	294	124	76	250	399
DNAH8	1	0	0	5	1
DNAI1	10	8	7	12	13
DNAI2	0	4	0	0	0
DNAJA4	7890	9952	3812	8683	7996
DNAJB13	1	0	4	0	1
DNAJC27	1278	1721	1151	1694	1239
DNAJC5B	0	0	0	0	1
DNAJC5G	46	15	4	33	23
DNAJC6	21786	19784	23125	24492	20078
DNALI1	576	594	847	603	401
DNASE1L2	21	36	107	40	52
DNASE1L3	1	0	0	2	0
DNASE2B	1	1	1	0	3
DNASE2	1227	1015	1251	1099	1218
DND1	75	84	175	74	77
DNM1P35	75	60	61	142	96
DNM1	60609	59085	11188	63163	46491
DNM3	9437	9559	9269	10738	9162
DNMBP	561	538	365	575	479
DNMT3B	24	32	36	47	35
DOC2A	6745	7199	1615	6565	6361
DOC2B	266	336	122	399	118
DOCK11	445	312	344	412	303
DOCK2	605	451	584	427	539
DOCK3	11188	8112	5046	11273	9177
DOCK5	491	1220	5823	545	792
DOCK6	448	710	497	646	531
DOCK9	7505	6527	10716	7911	6596
DOHH	1341	1635	4500	1120	1865
DOK1	314	262	566	294	370
DOK2	21	18	9	10	25
DOK3	144	130	109	121	128
DOK6	5926	3717	797	4893	3601
DONSON	209	260	503	279	352
DOT1L	952	1938	2173	1224	1333
DPEP1	0	0	0	0	0
DPEP2	24	9	41	19	41
DPEP3	1	0	0	3	3
DPH5	473	512	773	476	638
DPM3	418	366	654	338	478
DPP10	3983	3277	1333	4012	3020
DPP4	33	41	65	56	32
DPRXP4	0	1	0	0	0
