TCGA-76-4925-01A-01R-1850-01	TCGA-06-0649-01B-01R-1849-01	TCGA-14-1034-01A-01R-1849-01	TCGA-26-5136-01B-01R-1850-01	TCGA-06-5412-01A-01R-1849-01	TCGA-76-4931-01A-01R-1850-01	TCGA-28-5216-01A-01R-1850-01	TCGA-06-2565-01A-01R-1849-01	TCGA-32-1982-01A-01R-1850-01	TCGA-06-0184-01A-01R-1849-01	TCGA-06-0878-01A-01R-1849-01	TCGA-06-0646-01A-01R-1849-01	TCGA-27-1835-01A-01R-1850-01	TCGA-14-1823-01A-01R-1849-01	TCGA-02-2485-01A-01R-1849-01	TCGA-06-0745-01A-01R-1849-01	TCGA-12-3653-01A-01R-1849-01	TCGA-32-2615-01A-01R-1850-01	TCGA-28-5213-01A-01R-1850-01	TCGA-06-0157-01A-01R-1849-01	TCGA-06-5858-01A-01R-1849-01	TCGA-16-0846-01A-01R-1850-01	TCGA-32-2632-01A-01R-1850-01	TCGA-06-0190-01A-01R-1849-01	TCGA-06-2558-01A-01R-1849-01	TCGA-06-0211-01A-01R-1849-01	TCGA-28-5204-01A-01R-1850-01	TCGA-14-0871-01A-01R-1849-01	TCGA-26-5132-01A-01R-1850-01	TCGA-06-2557-01A-01R-1849-01	TCGA-28-5209-01A-01R-1850-01	TCGA-26-5133-01A-01R-1850-01	TCGA-27-2528-01A-01R-1850-01	TCGA-06-0882-01A-01R-1849-01	TCGA-14-0817-01A-01R-1849-01	TCGA-32-5222-01A-01R-1850-01	TCGA-12-0619-01A-01R-1849-01	TCGA-06-2570-01A-01R-1849-01	TCGA-06-0211-01B-01R-1849-01	TCGA-06-0129-01A-01R-1849-01	TCGA-12-3652-01A-01R-1849-01	TCGA-06-2569-01A-01R-1849-01	TCGA-06-5414-01A-01R-1849-01	TCGA-27-1834-01A-01R-1850-01	TCGA-02-0047-01A-01R-1849-01	TCGA-27-1831-01A-01R-1850-01	TCGA-76-4926-01B-01R-1850-01	TCGA-06-0219-01A-01R-1849-01	TCGA-14-0781-01B-01R-1849-01	TCGA-14-0790-01B-01R-1849-01	TCGA-06-0644-01A-02R-1849-01	TCGA-28-5208-01A-01R-1850-01	TCGA-28-5207-01A-01R-1850-01	TCGA-15-1444-01A-02R-1850-01	TCGA-02-0055-01A-01R-1849-01	TCGA-06-0645-01A-01R-1849-01	TCGA-02-2483-01A-01R-1849-01	TCGA-12-5299-01A-02R-1849-01	TCGA-27-1832-01A-01R-1850-01	TCGA-06-5856-01A-01R-1849-01	TCGA-32-4213-01A-01R-1850-01	TCGA-06-5417-01A-01R-1849-01	TCGA-27-2524-01A-01R-1850-01	TCGA-14-1829-01A-01R-1850-01	TCGA-06-0749-01A-01R-1849-01	TCGA-06-5411-01A-01R-1849-01	TCGA-28-1747-01C-01R-1850-01	TCGA-12-1597-01B-01R-1849-01	TCGA-41-4097-01A-01R-1850-01	TCGA-06-0187-01A-01R-1849-01	TCGA-28-2509-01A-01R-1850-01	TCGA-06-5418-01A-01R-1849-01	TCGA-27-2526-01A-01R-1850-01	TCGA-41-2572-01A-01R-1850-01	TCGA-12-5295-01A-01R-1849-01	TCGA-26-5134-01A-01R-1850-01	TCGA-12-0821-01A-01R-1849-01	TCGA-27-2521-01A-01R-1850-01	TCGA-76-4929-01A-01R-1850-01	TCGA-19-4065-01A-01R-2005-01	TCGA-32-1970-01A-01R-1850-01	TCGA-06-0174-01A-01R-1849-01	TCGA-14-0789-01A-01R-1849-01	TCGA-14-0787-01A-01R-1849-01	TCGA-06-0132-01A-02R-1849-01	TCGA-28-5220-01A-01R-1850-01	TCGA-28-2510-01A-01R-1850-01	TCGA-06-5410-01A-01R-1849-01	TCGA-06-2559-01A-01R-1849-01	TCGA-15-0742-01A-01R-1850-01	TCGA-06-0747-01A-01R-1849-01	TCGA-19-1390-01A-01R-1850-01	TCGA-19-2619-01A-01R-1850-01	TCGA-06-0743-01A-01R-1849-01	TCGA-32-2616-01A-01R-1850-01	TCGA-28-2513-01A-01R-1850-01	TCGA-06-2562-01A-01R-1849-01	TCGA-41-2571-01A-01R-1850-01	TCGA-28-1753-01A-01R-1850-01	TCGA-06-0158-01A-01R-1849-01	TCGA-19-2629-01A-01R-1850-01	TCGA-76-4932-01A-01R-1850-01	TCGA-06-2564-01A-01R-1849-01	TCGA-14-2554-01A-01R-1850-01	TCGA-26-1442-01A-01R-1850-01	TCGA-12-0618-01A-01R-1849-01	TCGA-06-0238-01A-02R-1849-01	TCGA-06-5415-01A-01R-1849-01	TCGA-06-0141-01A-01R-1849-01	TCGA-26-5139-01A-01R-1850-01	TCGA-14-1825-01A-01R-1850-01	TCGA-27-1830-01A-01R-1850-01	TCGA-06-5413-01A-01R-1849-01	TCGA-06-0744-01A-01R-1849-01	TCGA-06-2563-01A-01R-1849-01	TCGA-06-0125-01A-01R-1849-01	TCGA-19-5960-01A-11R-1850-01	TCGA-32-1980-01A-01R-1850-01	TCGA-06-5859-01A-01R-1849-01	TCGA-12-0616-01A-01R-1849-01	TCGA-06-2567-01A-01R-1849-01	TCGA-06-0156-01A-03R-1849-01	TCGA-06-0130-01A-01R-1849-01	TCGA-06-0686-01A-01R-1849-01	TCGA-27-1837-01A-01R-1850-01	TCGA-32-2634-01A-01R-1850-01	TCGA-06-5408-01A-01R-1849-01	TCGA-19-2624-01A-01R-1850-01	TCGA-06-0178-01A-01R-1849-01	TCGA-28-5215-01A-01R-1850-01	TCGA-27-2523-01A-01R-1850-01	TCGA-12-3650-01A-01R-1849-01	TCGA-28-5218-01A-01R-1850-01	TCGA-06-0168-01A-01R-1849-01	TCGA-06-0750-01A-01R-1849-01	TCGA-06-1804-01A-01R-1849-01	TCGA-76-4927-01A-01R-1850-01	TCGA-06-0138-01A-02R-1849-01	TCGA-02-2486-01A-01R-1849-01	TCGA-28-2499-01A-01R-1850-01	TCGA-19-1787-01B-01R-1850-01	TCGA-06-2561-01A-02R-1849-01	TCGA-19-2620-01A-01R-1850-01	TCGA-06-5416-01A-01R-1849-01	TCGA-06-0210-01A-01R-1849-01	TCGA-27-2519-01A-01R-1850-01	TCGA-28-2514-01A-02R-1850-01	TCGA-08-0386-01A-01R-1849-01	TCGA-16-1045-01B-01R-1850-01	TCGA-41-5651-01A-01R-1850-01	TCGA-76-4928-01B-01R-1850-01	TCGA-06-0156-01A-02R-1849-01	TCGA-19-2625-01A-01R-1850-01	TCGA-32-2638-01A-01R-1850-01	TCGA-41-3915-01A-01R-1850-01	TCGA-26-5135-01A-01R-1850-01
CLRN1	0	0	0	0	534	1	9	60	17	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	8	81	0	0	0	0	45	0	0	0	2	0	2	2	0	216	0	0	0	0	0	0	0	1	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	11	0	0	3	99	0	0	0	0	0	0	1814	0	0	0	0	0	0	0	0	0	1	93	2	12	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	3	0	0	0	0	0	0	0
KLK11	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
RHBG	5	1	0	17	0	9	1	3	4	6	17	3	15	16	2	9	17	6	7	0	0	0	1	3	2	3	0	0	0	0	0	6	5	0	0	0	1	7	3	1	11	1	3	15	8	4	0	0	0	3	0	1	1	2	0	0	0	3	13	1	0	33	0	2	1	2	2	14	2	4	1	0	6	6	10	11	2	20	16	2	0	5	2	123	0	1	0	0	3	14	0	0	16770	6	4	14	5	1	8	2	0	6	13	9	1	17	1	2	0	1	2	12	3	3	4	8	6	0	4	2	11	13	0	3	2	41	4	11	9	6	0	8	0	3	45	0	1	0	9	9	4	2	7	4	2	15	0	0	9	13	5	15	5	2	5	0
LOC728643	6	0	8	1	6	2	4	13	0	0	14	1	1	1	5	0	0	0	9	3	0	4	0	1	1	0	6	63	0	6	8	1	3	4	5	9	4	17	0	3	0	25	6	5	5	4	9	0	0	10	3	6	5	13	0	3	13	6	12	4	0	0	3	2	3	0	3	3	5	2	3	4	8	0	11	10	8	8	1	1	1	6	14	8	1	9	1	2	14	1	0	4	11	1	2	1	4	2	1	1	11	11	9	3	3	1	1	4	3	6	15	3	3	2	12	5	4	0	2	3	2	0	2	5	3	4	12	3	0	3	4	2	11	0	0	5	1	1	6	9	6	8	13	3	1	5	3	4	3	7	7	0	1	3	1	0
MAGEC2	0	0	0	0	0	2	68	0	3	0	2	4	1	0	2	0	0	0	6	3	0	0	0	0	27	0	2	51	0	0	0	0	1	0	0	1	1	0	0	17	0	0	0	0	0	2	0	0	0	0	0	2	0	30	3	0	26	0	0	0	3	35	3	0	0	0	0	0	0	0	1	0	0	0	3	0	3262	1	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	1	0	0	0	10	3	0	2	1	0	339	19	2	0	0	0	0	0	0	1	0	0	0	1	0	0	5	0	3	0	1	1	0	0	0	0	445
PLA2G2A	100	264	1173	432	332	127	2649	34	342	516	14479	987	10	48628	69	14	64	16836	2255	117	5	42	10	469	579	5960	89	64	239	22	160	7	74	116	23712	35	122	39	1213	7	6209	13	3618	20	22	957	451	283	2411	55	433	1648	36	78	111	18184	29	107	43	159	16544	92	514	24100	161	56	48	9	425	245	235	1264	177	13856	239	418	909	9	2873	107	91	183	19540	246	1133	21	108	1112	786	340	118	32	90	19540	19	19975	37	21	422	274	54	353	2560	14682	6	85	383	28	158	2396	64	1457	1168	30	215	611	0	78	70	354	583	3387	62	128	395	665	1678	80	23	1977	48	41	376	1290	2487	6	536	2196	12601	203	25	203	1995	102	1217	784	377	264	40325	10	3765	3235	1649	4481	8180	484
NACAP1	4	9	16	2	15	7	11	6	25	3	11	1	15	52	3	7	32	8	2	5	7	1	9	3	4	7	23	5	3	5	14	10	19	3	2	20	4	6	8	3	2	10	13	1	6	7	6	4	13	13	15	12	10	5	6	4	14	21	8	10	8	16	10	8	5	5	7	16	8	15	16	5	28	8	18	3	1	8	6	10	5	11	2	3	8	12	2	9	4	8	7	7	3	4	8	13	6	6	5	2	22	32	7	7	13	6	5	5	2	11	9	2	8	3	5	2	5	7	8	3	0	1	10	5	6	6	16	3	12	9	17	14	22	4	5	0	3	7	12	30	8	7	10	19	2	15	4	3	10	7	7	5	12	14	3	16
CAMP	2	3	4	0	24	14	3	0	0	25	1	0	0	1180	0	0	0	7	36	8	3	0	60	8	1	4	0	0	0	1	0	0	0	0	1	2	614	3	0	0	28	0	0	0	10	0	0	7	8	1	0	0	0	4	14	7	1	0	26	1	973	0	0	23	0	2	0	0	0	5	60	33	2	79	0	0	18	0	65	0	0	0	13	0	4	0	0	24	0	0	1	0	4	0	1	21	0	0	21	0	0	0	0	385	0	0	21	0	42	1	0	16	14	0	0	0	0	0	0	3	117	11	8	2	1	0	0	0	2	0	0	0	0	95	56	1	0	1	0	3	96	0	0	0	18	0	2	1	119	0	34	9	21	0	18	0
CCL11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	8	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	913	0	0	0	0	0	0	7	0	0	492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
KRT6C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HPSE2	1	6	0	7	3	3	4	0	5	11	0	2	4	0	32	0	0	7	6	7	0	76	14	0	49	0	0	0	2	13	0	4	0	18	2	7	0	15	0	38	0	3	2	3	19	0	39	20	0	110	0	0	38	128	5	4	0	0	0	9	0	7	3	0	15	45	27	15	2	5	0	0	0	7	0	0	0	83	20	0	17	0	1	0	46	252	77	0	2	1	2	13	1	56	203	0	3	0	1	18	4	0	5	0	112	17	0	13	43	0	30	3	0	3	10	2	29	26	5	3	4	0	0	5	0	4	1	6	0	0	4	2	1	14	0	16	6	2	6	6	2	6	29	0	7	0	15	55	2	0	0	3	0	1	0	0
HMGCS2	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGC4473	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	6	1	0	0	2	0	0	1127	3	0	0	0	0	0	0	0	0	0	0	0	0	913	0	6	0	35	0	0	1	2	0	0	0	2	0	0	1	0	0	0	0	16	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	12	0	3	0	0	2	1	1	0	0	44	0	0	10	0	0	0	0	3	0	0	0	1	4	0	0	0	0	0	0	0	0	0	9
KERA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	36	0	3	0	0	0	0	2	0	0	0	1	0	0	442	0	0	0	1	0	1	0	0	25	1	9	0	12	0	0	3	34	0	0	0	2	3	7	0	1	2	0	0	0	0	0	1	0	0	0	1	0	3	0	0	8	0	0	0	1	4	0	1	2	0	0	0	0	20	0	0	5	0	0	0	0	17	0	0	0	0	0	6	4	0	1	0	0	2	0	2	1	0	0	0	42	0	0	0	0	0	1	14	4	2	3352	6	8	0	5	0	0	0	0	0	0	0	0	1	3	0	15	0	0	0	7	1	1	0
SLCO1B1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
TMEM72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	4	1	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C19orf59	5	54	20	9	19	6	1	4	15	22	61	12	0	33	0	33	21	44	594	4	0	0	2	40	9	157	10	0	7	5	7	0	3	16	3	77	15	9	13	0	31	1	83	1	4	5	0	26	37	0	232	3	0	0	263	58	22	24	56	14	10	0	65	35	53	10	0	6	33	74	2	85	33	2	2	2	1	2	51	55	4	3	73	5	31	30	24	1327	9	9	3	3	9	26	9	210	10	1	43	1	0	7	27	17	0	1	115	0	214	8	0	8	102	6	0	5	0	2	5	5	31	251	121	3	0	1	13	0	11	0	0	2	81	54	26	14	12	52	14	14	1	13	2	3	68	12	3	5	216	1	46	108	5	2	49	24
DKFZp434L192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	798	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0
PDCL2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NPPB	13	0	0	0	0	2	55	0	0	0	40	3	0	1	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	1	4	0	0	0	517	0	0	0	2	6	2	0	2	0	0	0	0	0	2	13	0	16	0	10	1	0	15	0	0	0	0	68	0	2	8	206	0	191	0	4	1	0	0	0	0	44	15	0	0	1	1	0	516	0	0	5	2	0	0	2	0	0	0	2	0	0	4	48	0	17	12	0	0	11	0	0	4	2	1	0	0	0	0	19	1	3	0	6	4	0	0	12	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	115	31	0	1	2	0	31	5	1	40	0	0	4
SLAMF9	20	53	72	6	210	117	159	14	8	7	65	41	20	128	0	118	11	71	628	11	25	1	0	34	25	223	5	10	40	0	21	5	3	9	31	251	30	23	3	0	274	0	79	4	60	44	56	150	19	9	87	10	0	1	69	28	250	61	0	6	173	11	246	181	5	16	1	13	28	65	216	34	6	81	8	9	22	62	186	270	2	48	281	68	21	0	21	120	0	51	13	19	14	21	4	52	3	35	87	0	0	171	24	75	0	21	2	0	205	1	118	26	2	4	7	15	1	27	1	15	14	121	12	22	0	17	34	20	120	36	8	62	2	0	42	2	33	40	38	14	0	31	20	587	210	52	3	8	56	16	96	68	27	98	115	69
FGA	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR1A	0	0	0	0	0	0	2	0	1	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	4	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	6	0	2	7	0	0	0	4	0	0	0	0	0	27	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	23	0	36	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	8	14	3	4	0	3	0	0	0	0	6	0	4	19	0	0	1	0	0	0	1	4	55	0	0	0	0	1	0	2	0	0	0	1	0	0	1	8	0	0	0	0	0	0	0	10	0	0	0	1	0	0
SLC13A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAA1	272	64	274	19	303	258	66	7	18	74	2097	4016	37	12618	20	18	17	5016	12668	5864	14	12	692	779	35	3018	8	50	3	28	115	3	4	149	2199	24	2008	22	92	0	1379	23	314	3	61	117	12	54	395	48	25	79	305	8	629	4958	6	549	1582	125	3594	11	963	7895	10	86	11	12	224	206	173	254	25	6862	52	9	29251	19	211	44	491	19	15045	97	3853	10793	31	3003	9	223	69	8	36	5287	4	1821	90	8	92	1781	33	29	56	14824	1	23	94	43	11140	2933	64	2845	186	9	12	404	0	601	12	37	2646	7802	14	48	475	33	744	7	6	232	159	19	74	16054	178	5	451	497	327	116	12	98	1061	148	308	2008	101	777	10683	14	340	8333	3073	375	3784	80
GDF3	0	0	0	0	0	0	1	12	0	0	4	3	0	0	3	11	0	0	0	45	0	0	0	0	0	0	0	0	0	2	2	0	5	0	0	5	1	0	0	0	14	0	0	0	0	4	0	503	0	0	0	1	1	0	1	2	0	0	0	3	5	0	2	0	0	0	0	0	0	0	31	0	0	0	0	0	207	0	0	0	63	4	0	0	0	162	0	1	0	4	0	4	7	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	4	0	1	0	1	0	2	0	0	0	0	3	11	0	0	25	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	5	2	0
IL31RA	0	3	2	4	14	0	3	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	5	26	0	0	2	0	0	0	7	1	0	0	1	0	0	0	0	0	2	0	0	0	28	0	0	0	0	0	195	1	0	0	160	3	0	1	1	30	3	0	11	4	0	4	0	0	149	0	43	0	0	0	0	2	6	0	0	3	0	0	41	0	2	1	0	12	0	0	0	0	1	22	0	35	3	0	0	0	0	2	0	0	0	0	0	0	8	3	0	3	2	0	1	2	3	2	2	0	1	0	17	0	0	0	4	0	0	2	0	0	262	0	0	0	4	0	0	0	0	1	0	6	6	0	0	0	0	2	7715	0	1	0	0	0
KLK2	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	6	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SYT10	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	4	0	1	1	0	0	0	0	0	2	0	0	0	7	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	5	1	17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	1	3	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HIST1H1B	8	0	12	6	0	8	4	0	7	0	4	4	1	3	4	31	13	5	4	12	0	3	6	0	1	11	4	14	0	4	5	0	6	0	8	15	6	1	1	3	24	2	7	0	4	41	0	45	0	9	15	0	4	0	1	2	18	13	0	1	466	9	30	15	0	1	4	191	1	31	25	4	24	4	61	1941	13	6	0	5	5	7	1	3	1	16	0	4	9	0	0	8	4	1	1	8	0	56	11	0	11	19	2	6	0	4	37	3	0	2	6	0	9	18	4	0	0	0	0	76	2	3	2	8	6	5	5	2	6	2	12	24	1	2	2	0	6	8	1	1	18	1	0	11	1	2	7	3	1	7	2	1	1	1	56	8
EREG	16	102	37	6	381	4	11	0	0	0	31	0	1	6	5	8	12	12	90	9	3	2	6	158	3	42	9	11	5	0	17	7	0	1	0	10	18	7	1	1	42	0	13	2	8	6	1	0	59	0	1529	15	0	7	3612	57	9	3	12	16	31	0	14	31	0	32	0	10	3379	47	28	45	20	12	58	2	0	2	10	145	0	5	311	4	6	2	17	251	48	1	0	0	8	17	0	145	11	1	8	0	0	13	5	5	6	6	1	9	329	4	0	45	68	0	0	0	3	6	3	6	0	105	23	4	3	5	31	0	0	30	9	2	29	18	31	3	14	16	14	1	0	11	4	3	108	16	0	0	31	3	1120	81	2	3	83	0
MYOD1	0	0	0	0	0	0	18	0	3	0	0	2	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	8	1	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	9	0	0	13	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	8	2	17	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	28	0	0	0	0	0	0	3	0	0	0	8	0	8	0	1	0	0	1	0	0	0	1	4	1	0	0	0	0	0	0	0	1	4	1	0	6	1	0	0	0	5	0	0	1	2
